GENESIS-Tabelle: 12411-0005
Population: Germany, reference date, age;;;;;
Current updating of population figures;;;;;
Germany;;;;;
Population (number);;;;;
;Reference date;Reference date;Reference date;Reference date;Reference date
;2016-12-31;2017-12-31;2018-12-31;2019-12-31;2020-12-31
under 1 year;788299;785074;783978;774870;769380
1 year;762519;796149;796374;794132;783593
2 years;753217;770628;802651;802415;798366
3 years;727203;760868;776763;807816;806198
4 years;725208;734059;766631;782143;811601
5 years;709649;732088;739729;771479;785754
6 years;725990;715528;736749;743954;774587
7 years;714614;732586;720613;741969;747447
8 years;733904;721168;738238;725807;745883
9 years;729770;740846;726909;743761;729897
10 years;715498;736082;746345;732376;747757
11 years;725080;721745;741530;751663;736417
12 years;741434;730820;726923;746670;755570
13 years;741827;746890;735760;731698;750180
14 years;754356;747228;751622;740506;735170
15 years;774861;760238;752351;756823;744218
16 years;817175;781964;766517;757882;760578
17 years;829658;824185;787745;771938;761348
18 years;852649;841946;835762;798514;779039
19 years;898526;872234;861102;854086;811591
20 years;896869;918164;891659;878869;865943
21 years;883871;913985;934518;905902;885430
22 years;900327;899827;929523;947646;910983
23 years;935857;918306;916924;944591;955511
24 years;957107;952232;934648;931423;952624
25 years;996131;971610;967092;947032;939020
26 years;1094013;1009672;985364;978142;953617
27 years;1081506;1105660;1021919;995515;984464
28 years;1108891;1092555;1116459;1030314;1000769
29 years;1086215;1118583;1102501;1123468;1035069
30 years;1068203;1094733;1127589;1109227;1127628
31 years;1036328;1075886;1103635;1133582;1112935
32 years;1029887;1043548;1083657;1109010;1136859
33 years;1032181;1036879;1050793;1088700;1112354
34 years;1054476;1039206;1043355;1055201;1091312
35 years;1045463;1060221;1045184;1048086;1058097
36 years;1050450;1051212;1065675;1048762;1050221
37 years;999664;1056495;1056516;1069168;1050675
38 years;985590;1004728;1060769;1059479;1070818
39 years;976871;990554;1009272;1063715;1061065
40 years;957877;981486;995070;1011818;1065188
41 years;933123;962843;985641;997428;1013187
42 years;945184;937518;966513;987623;998596
43 years;953024;949657;941433;968885;988332
44 years;1032778;956853;953081;943272;969585
45 years;1135810;1035587;959668;954462;944048
46 years;1177742;1138293;1038269;960829;954793
47 years;1264331;1179668;1140019;1038797;960699
48 years;1323771;1265662;1180738;1139590;1038215
49 years;1358258;1324077;1265825;1179680;1138105
50 years;1393957;1357827;1323697;1263945;1177845
51 years;1397753;1392300;1356220;1320960;1261618
52 years;1421951;1395078;1389766;1352770;1318051
53 years;1408732;1418449;1391794;1385608;1348886
54 years;1361914;1404391;1414471;1386952;1380824
55 years;1340408;1357082;1399366;1408832;1381357
56 years;1293120;1334645;1351589;1392942;1402572
57 years;1254555;1286991;1327937;1344388;1385607
58 years;1182584;1247579;1279695;1319852;1336643
59 years;1152459;1175219;1239631;1271291;1311139
60 years;1117653;1144314;1166642;1230109;1261935
61 years;1079772;1108669;1135091;1157125;1220021
62 years;1055517;1070337;1098993;1124758;1146667
63 years;1017147;1045334;1059645;1087957;1113442
64 years;1011191;1006399;1033543;1047822;1076072
65 years;986117;999682;994300;1021046;1035309
66 years;980637;973689;986573;981186;1007452
67 years;942547;967521;960173;972595;967555
68 years;855561;928887;953314;946118;958288
69 years;798439;841915;914137;938087;930500
70 years;690163;784815;827191;898100;921770
71 years;601545;676907;770080;811462;881247
72 years;796592;589302;662844;754507;795008
73 years;800408;779008;575993;648189;737688
74 years;766229;781877;760437;561837;632357
75 years;917490;746906;761531;740528;546752
76 years;947484;892443;726066;740375;718997
77 years;912772;918608;865057;704285;717058
78 years;826172;882457;887604;836403;680345
79 years;745639;795009;849126;854829;804876
80 years;692490;713800;761230;814346;818459
81 years;636554;658716;679410;726011;775452
82 years;557352;601037;622557;643708;687458
83 years;419843;521955;563565;585337;604464
84 years;388732;389704;484835;524879;544669
85 years and over;2246939;2265473;2277509;2386854;2505932
Total;82521653;82792351;83019213;83166711;83155031
__________
"Until 1989: Former territory of the Federal Republic.

From 2011: Results based on the 2011 Census."
© Federal Statistical Office, Wiesbaden 2022
created: 2022-06-16 / 22:37:02
